config,order,seasonal_order,status,mape,mae,rmse,time
Baseline (Current),"(1, 1, 1)","(1, 1, 1, 7)",SUCCESS,42.290635752537334,1.7355417826227875,2.2087279628752348,1.5783138275146484
Seasonal: 7 days,"(1, 1, 1)","(1, 1, 1, 7)",SUCCESS,42.290635752537334,1.7355417826227875,2.2087279628752348,0.606356143951416
Seasonal: 14 days,"(1, 1, 1)","(1, 1, 1, 14)",SUCCESS,42.64590040352523,1.763180284029572,2.230008820956802,3.1577200889587402
Seasonal: 30 days,"(1, 1, 1)","(1, 1, 1, 30)",SUCCESS,39.95803853994836,1.706702465468064,2.214556469656116,11.54858684539795
"Low Order (0,1,1)","(0, 1, 1)","(1, 1, 1, 7)",SUCCESS,42.34871420570657,1.7381112555194618,2.21090497964055,0.536468505859375
"Low Order (1,0,1)","(1, 0, 1)","(1, 1, 1, 7)",SUCCESS,45.116217391681836,1.53452414862552,1.956189724278251,0.5354835987091064
"Low Order (1,1,0)","(1, 1, 0)","(1, 1, 1, 7)",SUCCESS,103.30839909613539,4.346951446205419,4.8315922987120725,0.4176902770996094
"Higher Order (2,1,2)","(2, 1, 2)","(1, 1, 1, 7)",SUCCESS,42.38733475294219,1.7000980968006776,2.1635647813445944,0.9240493774414062
"Higher Order (2,2,2)","(2, 2, 2)","(1, 1, 1, 7)",SUCCESS,161.64078604610245,6.164744122611825,6.888243241072892,1.8808863162994385
"Higher Order (3,1,2)","(3, 1, 2)","(1, 1, 1, 7)",SUCCESS,41.25150126267516,1.6931875971248105,2.1843969000604253,1.9300005435943604
"Seasonal Order (1,0,1,7)","(1, 1, 1)","(1, 0, 1, 7)",SUCCESS,44.410717667854655,1.5185659505001876,1.9438106750002244,0.7439243793487549
"Seasonal Order (2,1,1,7)","(1, 1, 1)","(2, 1, 1, 7)",SUCCESS,42.27100166763933,1.7368644129997848,2.210676609897306,3.0723228454589844
"Seasonal Order (1,1,2,7)","(1, 1, 1)","(1, 1, 2, 7)",SUCCESS,42.41938785238064,1.7038472214494882,2.177140794949721,2.1089730262756348
"Seasonal Order (2,1,2,7)","(1, 1, 1)","(2, 1, 2, 7)",SUCCESS,42.398846143322054,1.7308794003363621,2.201248883305742,2.111999988555908
"Optimized 1 (2,1,1)(1,1,1,7)","(2, 1, 1)","(1, 1, 1, 7)",SUCCESS,42.19470722545245,1.7539480510461094,2.232009559283579,0.9610922336578369
"Optimized 2 (1,1,2)(1,1,1,7)","(1, 1, 2)","(1, 1, 1, 7)",SUCCESS,42.06982595301068,1.7054171243332277,2.175363728568516,1.0537409782409668
"Optimized 3 (2,1,2)(1,1,1,7)","(2, 1, 2)","(1, 1, 1, 7)",SUCCESS,42.38733475294219,1.7000980968006776,2.1635647813445944,0.9201128482818604
"Optimized 4 (1,1,1)(2,1,1,7)","(1, 1, 1)","(2, 1, 1, 7)",SUCCESS,42.27100166763933,1.7368644129997848,2.210676609897306,1.7624752521514893
"Optimized 5 (2,1,1)(2,1,1,7)","(2, 1, 1)","(2, 1, 1, 7)",SUCCESS,42.12395767707227,1.7630717997446317,2.243540043376802,1.4964540004730225
